Subject,Start Date,Start Time,End Date,End Time,All Day Event,Location
G49 - Sacred Heart vs. STAC,01/29/23,4:00:00 PM,01/29/23,5:30:00 PM,FALSE,"Sacred Heart University, 5151 Park Ave, Fairfield, CT 06825, USA"
G50 - Stevens vs. STAC,02/03/23,8:30:00 PM,02/03/23,10:00:00 PM,FALSE,"RWJBarnabas Health Hockey House, 25 Lafayette St, Newark, NJ 07102, USA"
G51 - Columbia vs. Kings Point,02/03/23,10:00:00 PM,02/03/23,11:30:00 PM,FALSE,"Ice Hutch, 655 Garden Ave, Mt Vernon, NY 10550, USA"
G52 - Maritime vs. WestConn,02/03/23,10:00:00 PM,02/03/23,11:30:00 PM,FALSE,"World Ice Arena, 131-04 Meridian Rd, Queens, NY 11368, USA"
G53 - Sacred Heart vs. Kings Point,02/04/23,8:30:00 PM,02/04/23,10:00:00 PM,FALSE,"Wonderland of Ice, 123 Glenwood Ave, Bridgeport, CT 06610, USA"
G54 - STAC vs. Kings Point,02/05/23,8:15:00 PM,02/05/23,9:45:00 PM,FALSE,"Sport-O-Rama Ice Rinks, 20 College Rd, Monsey, NY 10952, USA"
G55 - Stevens vs. Maritime,02/05/23,8:30:00 PM,02/05/23,10:00:00 PM,FALSE,"RWJBarnabas Health Hockey House, 25 Lafayette St, Newark, NJ 07102, USA"
G56 - Sacred Heart vs. WestConn,02/05/23,8:30:00 PM,02/05/23,10:00:00 PM,FALSE,"Sacred Heart University, 5151 Park Ave, Fairfield, CT 06825, USA"
G57 - Kings Point vs. Stevens,02/10/23,10:00:00 PM,02/10/23,11:30:00 PM,FALSE,"Andrew Stergiopoulos Ice Rink, 65 Arrandale Ave, Great Neck, NY 11024, USA"
G58 - Maritime vs. WestConn,02/10/23,10:00:00 PM,02/10/23,11:30:00 PM,FALSE,"World Ice Arena, 131-04 Meridian Rd, Queens, NY 11368, USA"
G59 - Columbia vs. STAC,02/10/23,10:20:00 PM,02/10/23,11:50:00 PM,FALSE,"Ice Hutch, 655 Garden Ave, Mt Vernon, NY 10550, USA"
G60 - STAC vs. Stevens,02/11/23,8:00:00 PM,02/11/23,9:30:00 PM,FALSE,"Sport-O-Rama Ice Rinks, 20 College Rd, Monsey, NY 10952, USA"
G61 - WestConn vs. Kings Point,02/11/23,9:00:00 PM,02/11/23,10:30:00 PM,FALSE,"Danbury Arena, 1 Independence Way, Danbury, CT 06810, USA"
G62 - Maritime vs. Columbia,02/11/23,10:00:00 PM,02/11/23,11:30:00 PM,FALSE,"World Ice Arena, 131-04 Meridian Rd, Queens, NY 11368, USA"
