Subject,Start Date,Start Time,End Date,End Time,All Day Event,Location,,,,,,
G34 - Yeshiva @ Maritime,2/1/2025,10:00:00 PM,2/1/2025,11:30:00 PM,FALSE,"Sport-O-Rama Ice Rinks, 20 College Rd, Monsey, NY 10952, USA",,,,,,
G35 - WestConn @ Sacred Heart,2/2/2025,3:15:00 PM,2/2/2025,4:45:00 PM,FALSE,"Martire Family Arena, 3135 Easton Turnpike, Fairfield, CT 06825",,,,,,
G36 - Maritime @ STAC,2/2/2025,3:25:00 PM,2/2/2025,4:55:00 PM,FALSE,"Sport-O-Rama Ice Rinks, 20 College Rd, Monsey, NY 10952, USA",,,,,,
G37 - Sacred Heart @ NJIT,2/7/2025,8:30:00 PM,2/7/2025,10:00:00 PM,FALSE,"RWJBarnabas Health Hockey House, 25 Lafayette St, Newark, NJ 07102, USA",,,,,,
G38 - STAC @ USMMA,2/7/2025,10:30:00 PM,2/7/2025,11:59:00 PM,FALSE,"Andrew Stergiopoulos Ice Rink, 65 Arrandale Ave, Great Neck, NY 11024, USA",,,,,,
G39 - Maritime @ USMMA,2/8/2025,10:15:00 PM,2/8/2025,11:45:00 PM,FALSE,"Andrew Stergiopoulos Ice Rink, 65 Arrandale Ave, Great Neck, NY 11024, USA",,,,,,
G40 - STAC @ NJIT,2/15/2025,8:30:00 PM,2/15/2025,10:00:00 PM,FALSE,"RWJBarnabas Health Hockey House, 25 Lafayette St, Newark, NJ 07102, USA",,,,,,
G41 - Sacred Heart @ Maritime,2/15/2025,10:00:00 PM,2/15/2025,11:30:00 PM,FALSE,"Sport-O-Rama Ice Rinks, 20 College Rd, Monsey, NY 10952, USA",,,,,,
G42 - Maritime @ Yeshiva,2/16/2025,3:45:00 PM,2/16/2025,5:15:00 PM,FALSE,"Mackay Park, Englewood, NJ 07631",,,,,,
S1 - MCHC Semi-Finals Game 1,2/22/2025,6:00:00 PM,2/22/2025,7:30:00 PM,FALSE,"Andrew Stergiopoulos Ice Rink, 65 Arrandale Ave, Great Neck, NY 11024, USA",,,,,,
S2 - MCHC Semi-Finals Game 2,2/22/2025,8:30:00 PM,2/22/2025,10:00:00 PM,FALSE,"Andrew Stergiopoulos Ice Rink, 65 Arrandale Ave, Great Neck, NY 11024, USA",,,,,,
CH - MCHC Championship Game,2/23/2025,3:00:00 PM,2/23/2025,4:30:00 PM,FALSE,"Andrew Stergiopoulos Ice Rink, 65 Arrandale Ave, Great Neck, NY 11024, USA",,,,,,
ASG - MCHC All Star Game,3/2/2025,5:00:00 PM,3/2/2025,6:30:00 PM,FALSE,"Andrew Stergiopoulos Ice Rink, 65 Arrandale Ave, Great Neck, NY 11024, USA",,,,,,
