Subject,Start Date,Start Time,End Date,End Time,All Day Event,Location
G1 - Sacred Heart @ WestConn,9/27/2025,7:00:00 PM,9/27/2025,8:30:00 PM,FALSE,"Danbury Arena, 1 Independence Way, Danbury, CT 06810, USA"
G2 - WestConn @ STAC,10/3/2025,8:30:00 PM,10/3/2025,10:00:00 PM,FALSE,"Sport-O-Rama Ice Rinks, 20 College Rd, Monsey, NY 10952, USA"
G3 - Sacred Heart @ NJIT,10/5/2025,5:30:00 PM,10/5/2025,7:00:00 PM,FALSE,"RWJBarnabas Health Hockey House, 25 Lafayette St, Newark, NJ 07102, USA"
G4 - NJIT @ Maritime,10/11/2025,10:00:00 PM,10/11/2025,11:30:00 PM,FALSE,"World Ice Arena, 131-04 Meridian Rd, Flushing, NY 11368, USA"
G5 - NJIT @ STAC,10/17/2025,8:00:00 PM,10/17/2025,9:30:00 PM,FALSE,"Sport-O-Rama Ice Rinks, 20 College Rd, Monsey, NY 10952, USA"
G6 - Maritime @ Sacred Heart,10/17/2025,9:00:00 PM,10/17/2025,10:30:00 PM,FALSE,"Martire Family Arena, 3135 Easton Turnpike, Fairfield, CT 06825, USA"
G7 - WestConn @ Maritime,10/18/2025,10:00:00 PM,10/18/2025,11:30:00 PM,FALSE,"World Ice Arena, 131-04 Meridian Rd, Flushing, NY 11368, USA"
G8 - STAC @ Sacred Heart,10/19/2025,5:15:00 PM,10/19/2025,6:45:00 PM,FALSE,"Martire Family Arena, 3135 Easton Turnpike, Fairfield, CT 06825, USA"
G9 - Maritime @ STAC,10/24/2025,8:30:00 PM,10/24/2025,10:00:00 PM,FALSE,"Sport-O-Rama Ice Rinks, 20 College Rd, Monsey, NY 10952, USA"
G10 - STAC @ WestConn,10/25/2025,7:00:00 PM,10/25/2025,8:30:00 PM,FALSE,"Danbury Arena, 1 Independence Way, Danbury, CT 06810, USA"
G11 - Yeshiva @ Maritime,10/25/2025,10:00:00 PM,10/25/2025,11:30:00 PM,FALSE,"World Ice Arena, 131-04 Meridian Rd, Flushing, NY 11368, USA"
G12 - Sacred Heart @ Yeshiva,10/26/2025,7:15:00 PM,10/26/2025,8:45:00 PM,FALSE,"American Dream Mall, 1 American Dream Wy, East Rutherford, NJ 07073, USA"
G13 - NJIT @ Sacred Heart,11/1/2025,5:00:00 PM,11/1/2025,6:30:00 PM,FALSE,"Martire Family Arena, 3135 Easton Turnpike, Fairfield, CT 06825, USA"
G14 - WestConn @ NJIT,11/2/2025,5:30:00 PM,11/2/2025,7:00:00 PM,FALSE,"RWJBarnabas Health Hockey House, 25 Lafayette St, Newark, NJ 07102, USA"
G15 - Maritime @ NJIT,11/16/2025,5:30:00 PM,11/16/2025,7:00:00 PM,FALSE,"RWJBarnabas Health Hockey House, 25 Lafayette St, Newark, NJ 07102, USA"
G16 - Yeshiva @ Sacred Heart,11/16/2025,8:15:00 PM,11/16/2025,9:45:00 PM,FALSE,"Martire Family Arena, 3135 Easton Turnpike, Fairfield, CT 06825, USA"
G17 - Maritime @ USMMA,11/21/2025,10:00:00 PM,11/21/2025,11:30:00 PM,FALSE,"Andrew Stergiopoulos Ice Rink, 65 Arrandale Ave, Great Neck, NY 11024, USA"
G18 - STAC @ Maritime,11/22/2025,10:00:00 PM,11/22/2025,11:30:00 PM,FALSE,"World Ice Arena, 131-04 Meridian Rd, Flushing, NY 11368, USA"
