Subject,Start Date,Start Time,End Date,End Time,All Day Event,Location
G19 - Yeshiva @ USMMA,11/22/2025,10:00:00 PM,11/22/2025,11:30:00 PM,FALSE,"Andrew Stergiopoulos Ice Rink, 65 Arrandale Ave, Great Neck, NY 11024, USA"
G20 - STAC @ Yeshiva,11/23/2025,11:30:00 AM,11/23/2025,1:00:00 PM,FALSE,"Palisades Center Ice Rink, 4900 Palisades Center Dr, West Nyack, NY 10994, USA"
G21 - WestConn @ Sacred Heart,11/23/2025,2:00:00 PM,11/23/2025,3:30:00 PM,FALSE,"Martire Family Arena, 3135 Easton Turnpike, Fairfield, CT 06825, USA"
G22 - Maritime @ WestConn,11/29/2025,7:00:00 PM,11/29/2025,8:30:00 PM,FALSE,"Danbury Arena, 1 Independence Way, Danbury, CT 06810, USA"
G23 - WestConn @ USMMA,12/5/2025,10:00:00 PM,12/5/2025,11:30:00 PM,FALSE,"Andrew Stergiopoulos Ice Rink, 65 Arrandale Ave, Great Neck, NY 11024, USA"
G24 - STAC @ USMMA,12/6/2025,10:00:00 PM,12/6/2025,11:30:00 PM,FALSE,"Andrew Stergiopoulos Ice Rink, 65 Arrandale Ave, Great Neck, NY 11024, USA"
G25 - Yeshiva @ NJIT,12/7/2025,5:30:00 PM,12/7/2025,7:00:00 PM,FALSE,"RWJBarnabas Health Hockey House, 25 Lafayette St, Newark, NJ 07102, USA"
G26 - NJIT @ USMMA,1/17/2026,10:00:00 PM,1/17/2026,11:30:00 PM,FALSE,"Andrew Stergiopoulos Ice Rink, 65 Arrandale Ave, Great Neck, NY 11024, USA"
G27 - WestConn @ Yeshiva,1/18/2026,9:15:00 PM,1/18/2026,10:45:00 PM,FALSE,"American Dream Mall, 1 American Dream Wy, East Rutherford, NJ 07073, USA"
G28 - USMMA @ Sacred Heart,1/23/2026,8:45:00 PM,1/23/2026,10:15:00 PM,FALSE,"Martire Family Arena, 3135 Easton Turnpike, Fairfield, CT 06825, USA"
G29 - USMMA @ NJIT,1/24/2026,8:30:00 PM,1/24/2026,10:00:00 PM,FALSE,"RWJBarnabas Health Hockey House, 25 Lafayette St, Newark, NJ 07102, USA"
G30 - Maritime @ Yeshiva,1/25/2026,3:45:00 PM,1/25/2026,5:15:00 PM,FALSE,"Mackay Park, Englewood, NJ 07631, USA"
G31 - Sacred Heart @ STAC,1/31/2026,8:25:00 PM,1/31/2026,9:55:00 PM,FALSE,"Sport-O-Rama Ice Rinks, 20 College Rd, Monsey, NY 10952, USA"
G32 - NJIT @ WestConn,1/31/2026,3:30:00 PM,1/31/2026,5:00:00 PM,FALSE,"Danbury Arena, 1 Independence Way, Danbury, CT 06810, USA"
G33 - USMMA @ Yeshiva,2/1/2026,9:45:00 AM,2/1/2026,11:15:00 AM,FALSE,"American Dream Mall, 1 American Dream Wy, East Rutherford, NJ 07073, USA"
G34 - Sacred Heart @ USMMA,2/6/2026,10:00:00 PM,2/6/2026,11:30:00 PM,FALSE,"Andrew Stergiopoulos Ice Rink, 65 Arrandale Ave, Great Neck, NY 11024, USA"
G35 - USMMA @ STAC,2/7/2026,8:45:00 PM,2/7/2026,10:15:00 PM,FALSE,"Sport-O-Rama Ice Rinks, 20 College Rd, Monsey, NY 10952, USA"
G36 - NJIT @ Yeshiva,2/7/2026,8:45:00 PM,2/7/2026,10:15:00 PM,FALSE,"Mackay Park, Englewood, NJ 07631, USA"
G37 - Sacred Heart @ Maritime,2/7/2026,10:00:00 PM,2/7/2026,11:30:00 PM,FALSE,"World Ice Arena, 131-04 Meridian Rd, Flushing, NY 11368, USA"
G38 - Yeshiva @ WestConn,2/8/2026,7:30:00 PM,2/8/2026,9:00:00 PM,FALSE,"Danbury Arena, 1 Independence Way, Danbury, CT 06810, USA"
G39 - Yeshiva @ STAC,2/14/2026,8:45:00 PM,2/14/2026,10:15:00 PM,FALSE,"Sport-O-Rama Ice Rinks, 20 College Rd, Monsey, NY 10952, USA"
G40 - USMMA @ Maritime,2/14/2026,10:00:00 PM,2/14/2026,11:30:00 PM,FALSE,"World Ice Arena, 131-04 Meridian Rd, Flushing, NY 11368, USA"
G41 - STAC @ NJIT,2/15/2026,5:30:00 PM,2/15/2026,7:00:00 PM,FALSE,"RWJBarnabas Health Hockey House, 25 Lafayette St, Newark, NJ 07102, USA"
G42 - USMMA @ WestConn,2/15/2026,7:30:00 PM,2/15/2026,9:00:00 PM,FALSE,"Danbury Arena, 1 Independence Way, Danbury, CT 06810, USA"
