Subject,Start Date,Start Time,End Date,End Time,All Day Event,Location
G38 - USMMA @ Sacred Heart,1/20/2024,5:30:00 PM,1/20/2024,7:00:00 PM,FALSE,"Martire Family Arena, 3135 Easton Turnpike, Fairfield, CT 06825"
G39 - Stevens @ NJIT,1/26/2024,8:30:00 PM,1/26/2024,10:00:00 PM,FALSE,"RWJBarnabas Health Hockey House, 25 Lafayette St, Newark, NJ 07102, USA"
G40 - NJIT @ Yale,1/28/2024,5:30:00 PM,1/28/2024,7:00:00 PM,FALSE,"Ingalls Rink, 73 Sachem St, New Haven, CT 06511"
G41 - USMMA @ WestConn,1/28/2024,6:30:00 PM,1/28/2024,8:00:00 PM,FALSE,"Danbury Arena, 1 Independence Way, Danbury, CT 06810, USA"
G42 - Maritime @ Stevens,1/28/2024,8:00:00 PM,1/28/2024,9:30:00 PM,FALSE,"RWJBarnabas Health Hockey House, 25 Lafayette St, Newark, NJ 07102, USA"
G43 - Stevens @ USMMA,2/2/2024,10:00:00 PM,2/2/2024,11:30:00 PM,FALSE,"Andrew Stergiopoulos Ice Rink, 65 Arrandale Ave, Great Neck, NY 11024, USA"
G44 - Yale @ WestConn,2/2/2024,7:00:00 PM,2/2/2024,8:30:00 PM,FALSE,"Danbury Arena, 1 Independence Way, Danbury, CT 06810, USA"
G45 - Maritime @ USMMA,2/3/2024,10:15:00 PM,2/3/2024,11:45:00 PM,FALSE,"Andrew Stergiopoulos Ice Rink, 65 Arrandale Ave, Great Neck, NY 11024, USA"
G46 - Sacred Heart @ STAC,2/3/2024,8:00:00 PM,2/3/2024,9:30:00 PM,FALSE,"Sport-O-Rama Ice Rinks, 20 College Rd, Monsey, NY 10952, USA"
G47 - WestConn @ Sacred Heart,2/4/2024,2:30:00 PM,2/4/2024,4:00:00 PM,FALSE,"Martire Family Arena, 3135 Easton Turnpike, Fairfield, CT 06825"
G48 - Stevens @ STAC,2/4/2024,5:30:00 PM,2/4/2024,7:00:00 PM,FALSE,"Sport-O-Rama Ice Rinks, 20 College Rd, Monsey, NY 10952, USA"
G49 - STAC @ NJIT,2/9/2024,8:30:00 PM,2/9/2024,10:00:00 PM,FALSE,"RWJBarnabas Health Hockey House, 25 Lafayette St, Newark, NJ 07102, USA"
G50 - Yale @ Maritime,2/10/2024,10:00:00 PM,2/10/2024,11:30:00 PM,FALSE,"World Ice Arena, 131-04 Meridian Rd, Queens, NY 11368, USA"
G51 - WestConn @ USMMA,2/10/2024,10:15:00 PM,2/10/2024,11:45:00 PM,FALSE,"Andrew Stergiopoulos Ice Rink, 65 Arrandale Ave, Great Neck, NY 11024, USA"
G52 - Sacred Heart @ Stevens,2/10/2024,8:30:00 PM,2/10/2024,10:00:00 PM,FALSE,"RWJBarnabas Health Hockey House, 25 Lafayette St, Newark, NJ 07102, USA"
G53 - STAC @ Yale,2/15/2024,7:00:00 PM,2/15/2024,8:30:00 PM,FALSE,"Ingalls Rink, 73 Sachem St, New Haven, CT 06511"
G54 - STAC @ USMMA,2/16/2024,10:00:00 PM,2/16/2024,11:30:00 PM,FALSE,"Andrew Stergiopoulos Ice Rink, 65 Arrandale Ave, Great Neck, NY 11024, USA"
G55 - WestConn @ Stevens,2/16/2024,8:30:00 PM,2/16/2024,10:00:00 PM,FALSE,"RWJBarnabas Health Hockey House, 25 Lafayette St, Newark, NJ 07102, USA"
G56 - Sacred Heart @ USMMA,2/17/2024,10:15:00 PM,2/17/2024,11:45:00 PM,FALSE,"Andrew Stergiopoulos Ice Rink, 65 Arrandale Ave, Great Neck, NY 11024, USA"
