Subject,Start Date,Start Time,End Date,End Time,All Day Event,Location,,,,Game Date,Game Time,End Time,Home,Away,Ice Rink,
G18 - Sacred Heart @ USMMA,11/22/2024,10:30:00 PM,11/22/2024,11:59:00 PM,FALSE,"Andrew Stergiopoulos Ice Rink, 65 Arrandale Ave, Great Neck, NY 11024, USA",,,18,11/22/2024,10:30:00 PM,12:00 AM,USMMA,Sacred Heart,"Andrew Stergiopoulos Ice Rink, 65 Arrandale Ave, Great Neck, NY 11024, USA",G18 - Sacred Heart @ USMMA
G19 - WestConn @ Yeshiva,11/23/2024,8:45:00 PM,11/23/2024,10:15:00 PM,FALSE,"Mackay Park, Englewood, NJ 07631",,,19,11/23/2024,8:45:00 PM,10:15 PM,Yeshiva,WestConn,"Mackay Park, Englewood, NJ 07631",G19 - WestConn @ Yeshiva
G20 - USMMA @ Maritime,11/23/2024,10:00:00 PM,11/23/2024,11:30:00 PM,FALSE,"Sport-O-Rama Ice Rinks, 20 College Rd, Monsey, NY 10952, USA",,,20,11/23/2024,10:00:00 PM,11:30 PM,Maritime,USMMA,"Sport-O-Rama Ice Rinks, 20 College Rd, Monsey, NY 10952, USA",G20 - USMMA @ Maritime
G21 - NJIT @ Sacred Heart,11/24/2024,8:00:00 PM,11/24/2024,9:30:00 PM,FALSE,"Martire Family Arena, 3135 Easton Turnpike, Fairfield, CT 06825",,,21,11/24/2024,8:00:00 PM,9:30 PM,Sacred Heart,NJIT,"Martire Family Arena, 3135 Easton Turnpike, Fairfield, CT 06825",G21 - NJIT @ Sacred Heart
G22 - Sacred Heart @ WestConn,12/6/2024,7:00:00 PM,12/6/2024,8:30:00 PM,FALSE,"Danbury Arena, 1 Independence Way, Danbury, CT 06810, USA",,,22,12/6/2024,7:00:00 PM,8:30 PM,WestConn,Sacred Heart,"Danbury Arena, 1 Independence Way, Danbury, CT 06810, USA",G22 - Sacred Heart @ WestConn
G23 - STAC @ WestConn,12/7/2024,3:30:00 PM,12/7/2024,5:00:00 PM,FALSE,"Danbury Arena, 1 Independence Way, Danbury, CT 06810, USA",,,23,12/7/2024,3:30:00 PM,5:00 PM,WestConn,STAC,"Danbury Arena, 1 Independence Way, Danbury, CT 06810, USA",G23 - STAC @ WestConn
G24 - USMMA @ NJIT,12/7/2024,8:30:00 PM,12/7/2024,10:00:00 PM,FALSE,"RWJBarnabas Health Hockey House, 25 Lafayette St, Newark, NJ 07102, USA",,,24,12/7/2024,8:30:00 PM,10:00 PM,NJIT,USMMA,"RWJBarnabas Health Hockey House, 25 Lafayette St, Newark, NJ 07102, USA",G24 - USMMA @ NJIT
G25 - Sacred Heart @ Yeshiva,12/7/2024,8:45:00 PM,12/7/2024,10:15:00 PM,FALSE,"Mackay Park, Englewood, NJ 07631",,,25,12/7/2024,8:45:00 PM,10:15 PM,Yeshiva,Sacred Heart,"Mackay Park, Englewood, NJ 07631",G25 - Sacred Heart @ Yeshiva
G26 - Yeshiva @ USMMA,12/14/2024,10:15:00 PM,12/14/2024,11:45:00 PM,FALSE,"Andrew Stergiopoulos Ice Rink, 65 Arrandale Ave, Great Neck, NY 11024, USA",,,26,12/14/2024,10:15:00 PM,11:45 PM,USMMA,Yeshiva,"Andrew Stergiopoulos Ice Rink, 65 Arrandale Ave, Great Neck, NY 11024, USA",G26 - Yeshiva @ USMMA
G27 - USMMA @ Yeshiva,1/18/2025,8:45:00 PM,1/18/2025,10:15:00 PM,FALSE,"Mackay Park, Englewood, NJ 07631",,,27,1/18/2025,8:45:00 PM,10:15 PM,Yeshiva,USMMA,"Mackay Park, Englewood, NJ 07631",G27 - USMMA @ Yeshiva
